"Gene","state","trait1_risk","trait2_risk","pleiotropic"
"GENE00114","01",FALSE,TRUE,FALSE
"GENE00115","00",FALSE,FALSE,FALSE
"GENE00116","00",FALSE,FALSE,FALSE
"GENE00117","00",FALSE,FALSE,FALSE
"GENE00118","00",FALSE,FALSE,FALSE
"GENE00119","00",FALSE,FALSE,FALSE
"GENE00120","00",FALSE,FALSE,FALSE
"GENE00121","00",FALSE,FALSE,FALSE
"GENE00122","00",FALSE,FALSE,FALSE
"GENE00123","00",FALSE,FALSE,FALSE
"GENE00124","00",FALSE,FALSE,FALSE
"GENE00125","10",TRUE,FALSE,FALSE
"GENE00126","00",FALSE,FALSE,FALSE
"GENE00127","00",FALSE,FALSE,FALSE
"GENE00128","00",FALSE,FALSE,FALSE
"GENE00129","00",FALSE,FALSE,FALSE
"GENE00130","00",FALSE,FALSE,FALSE
"GENE00131","10",TRUE,FALSE,FALSE
"GENE00132","00",FALSE,FALSE,FALSE
"GENE00133","00",FALSE,FALSE,FALSE
"GENE00134","10",TRUE,FALSE,FALSE
"GENE00135","00",FALSE,FALSE,FALSE
"GENE00136","00",FALSE,FALSE,FALSE
"GENE00137","00",FALSE,FALSE,FALSE
"GENE00138","00",FALSE,FALSE,FALSE
"GENE00139","00",FALSE,FALSE,FALSE
"GENE00140","00",FALSE,FALSE,FALSE
"GENE00141","00",FALSE,FALSE,FALSE
"GENE00142","00",FALSE,FALSE,FALSE
"GENE00143","00",FALSE,FALSE,FALSE
"GENE00144","00",FALSE,FALSE,FALSE
"GENE00145","00",FALSE,FALSE,FALSE
"GENE00146","00",FALSE,FALSE,FALSE
"GENE00147","00",FALSE,FALSE,FALSE
"GENE00148","00",FALSE,FALSE,FALSE
"GENE00149","00",FALSE,FALSE,FALSE
"GENE00150","00",FALSE,FALSE,FALSE
"GENE00151","00",FALSE,FALSE,FALSE
"GENE00152","00",FALSE,FALSE,FALSE
"GENE00153","00",FALSE,FALSE,FALSE
"GENE00154","00",FALSE,FALSE,FALSE
"GENE00155","00",FALSE,FALSE,FALSE
"GENE00156","00",FALSE,FALSE,FALSE
"GENE00157","00",FALSE,FALSE,FALSE
"GENE00158","10",TRUE,FALSE,FALSE
"GENE00159","00",FALSE,FALSE,FALSE
"GENE00160","00",FALSE,FALSE,FALSE
"GENE00161","00",FALSE,FALSE,FALSE
"GENE00162","10",TRUE,FALSE,FALSE
"GENE00163","00",FALSE,FALSE,FALSE
"GENE00164","00",FALSE,FALSE,FALSE
"GENE00165","00",FALSE,FALSE,FALSE
"GENE00166","00",FALSE,FALSE,FALSE
"GENE00167","00",FALSE,FALSE,FALSE
"GENE00168","00",FALSE,FALSE,FALSE
"GENE00169","00",FALSE,FALSE,FALSE
"GENE00170","00",FALSE,FALSE,FALSE
"GENE00171","00",FALSE,FALSE,FALSE
"GENE00172","00",FALSE,FALSE,FALSE
"GENE00173","00",FALSE,FALSE,FALSE
"GENE00174","00",FALSE,FALSE,FALSE
"GENE00175","10",TRUE,FALSE,FALSE
"GENE00176","00",FALSE,FALSE,FALSE
"GENE00177","00",FALSE,FALSE,FALSE
"GENE00178","00",FALSE,FALSE,FALSE
"GENE00179","00",FALSE,FALSE,FALSE
"GENE00180","00",FALSE,FALSE,FALSE
"GENE00181","00",FALSE,FALSE,FALSE
"GENE00182","00",FALSE,FALSE,FALSE
"GENE00183","00",FALSE,FALSE,FALSE
"GENE00184","01",FALSE,TRUE,FALSE
"GENE00185","00",FALSE,FALSE,FALSE
"GENE00186","00",FALSE,FALSE,FALSE
"GENE00187","00",FALSE,FALSE,FALSE
"GENE00188","00",FALSE,FALSE,FALSE
"GENE00189","00",FALSE,FALSE,FALSE
"GENE00190","00",FALSE,FALSE,FALSE
"GENE00191","00",FALSE,FALSE,FALSE
"GENE00192","00",FALSE,FALSE,FALSE
"GENE00193","00",FALSE,FALSE,FALSE
"GENE00194","00",FALSE,FALSE,FALSE
"GENE00195","00",FALSE,FALSE,FALSE
"GENE00196","00",FALSE,FALSE,FALSE
"GENE00197","00",FALSE,FALSE,FALSE
"GENE00198","00",FALSE,FALSE,FALSE
"GENE00199","00",FALSE,FALSE,FALSE
"GENE00200","00",FALSE,FALSE,FALSE
"GENE00201","00",FALSE,FALSE,FALSE
"GENE00202","00",FALSE,FALSE,FALSE
"GENE00203","00",FALSE,FALSE,FALSE
"GENE00204","00",FALSE,FALSE,FALSE
"GENE00205","00",FALSE,FALSE,FALSE
"GENE00206","00",FALSE,FALSE,FALSE
"GENE00207","00",FALSE,FALSE,FALSE
"GENE00208","00",FALSE,FALSE,FALSE
"GENE00209","00",FALSE,FALSE,FALSE
"GENE00210","00",FALSE,FALSE,FALSE
"GENE00211","00",FALSE,FALSE,FALSE
"GENE00212","00",FALSE,FALSE,FALSE
"GENE00213","00",FALSE,FALSE,FALSE
"GENE00214","10",TRUE,FALSE,FALSE
"GENE00215","00",FALSE,FALSE,FALSE
"GENE00216","11",TRUE,TRUE,TRUE
"GENE00217","00",FALSE,FALSE,FALSE
"GENE00218","00",FALSE,FALSE,FALSE
"GENE00219","00",FALSE,FALSE,FALSE
"GENE00220","00",FALSE,FALSE,FALSE
"GENE00221","00",FALSE,FALSE,FALSE
"GENE00222","00",FALSE,FALSE,FALSE
"GENE00223","00",FALSE,FALSE,FALSE
"GENE00224","00",FALSE,FALSE,FALSE
"GENE00225","00",FALSE,FALSE,FALSE
"GENE00226","00",FALSE,FALSE,FALSE
"GENE00227","00",FALSE,FALSE,FALSE
"GENE00228","00",FALSE,FALSE,FALSE
"GENE00229","00",FALSE,FALSE,FALSE
"GENE00230","00",FALSE,FALSE,FALSE
"GENE00231","00",FALSE,FALSE,FALSE
"GENE00232","00",FALSE,FALSE,FALSE
"GENE00233","00",FALSE,FALSE,FALSE
"GENE00234","00",FALSE,FALSE,FALSE
"GENE00235","00",FALSE,FALSE,FALSE
"GENE00236","00",FALSE,FALSE,FALSE
"GENE00237","00",FALSE,FALSE,FALSE
"GENE00238","00",FALSE,FALSE,FALSE
"GENE00239","00",FALSE,FALSE,FALSE
"GENE00240","00",FALSE,FALSE,FALSE
"GENE00241","00",FALSE,FALSE,FALSE
"GENE00242","00",FALSE,FALSE,FALSE
"GENE00243","00",FALSE,FALSE,FALSE
"GENE00244","00",FALSE,FALSE,FALSE
"GENE00245","00",FALSE,FALSE,FALSE
"GENE00246","00",FALSE,FALSE,FALSE
"GENE00247","00",FALSE,FALSE,FALSE
"GENE00248","00",FALSE,FALSE,FALSE
"GENE00249","00",FALSE,FALSE,FALSE
"GENE00250","00",FALSE,FALSE,FALSE
"GENE00251","00",FALSE,FALSE,FALSE
"GENE00252","10",TRUE,FALSE,FALSE
"GENE00253","00",FALSE,FALSE,FALSE
"GENE00254","00",FALSE,FALSE,FALSE
"GENE00255","00",FALSE,FALSE,FALSE
"GENE00256","00",FALSE,FALSE,FALSE
"GENE00257","00",FALSE,FALSE,FALSE
"GENE00258","00",FALSE,FALSE,FALSE
"GENE00259","00",FALSE,FALSE,FALSE
"GENE00260","00",FALSE,FALSE,FALSE
"GENE00261","00",FALSE,FALSE,FALSE
"GENE00262","00",FALSE,FALSE,FALSE
"GENE00263","00",FALSE,FALSE,FALSE
"GENE00264","00",FALSE,FALSE,FALSE
"GENE00265","00",FALSE,FALSE,FALSE
"GENE00266","00",FALSE,FALSE,FALSE
"GENE00267","00",FALSE,FALSE,FALSE
"GENE00268","00",FALSE,FALSE,FALSE
"GENE00269","00",FALSE,FALSE,FALSE
"GENE00270","00",FALSE,FALSE,FALSE
"GENE00271","00",FALSE,FALSE,FALSE
"GENE00272","00",FALSE,FALSE,FALSE
"GENE00273","00",FALSE,FALSE,FALSE
"GENE00274","00",FALSE,FALSE,FALSE
"GENE00275","00",FALSE,FALSE,FALSE
"GENE00276","00",FALSE,FALSE,FALSE
"GENE00277","00",FALSE,FALSE,FALSE
"GENE00278","00",FALSE,FALSE,FALSE
"GENE00279","00",FALSE,FALSE,FALSE
"GENE00280","00",FALSE,FALSE,FALSE
"GENE00281","00",FALSE,FALSE,FALSE
"GENE00282","00",FALSE,FALSE,FALSE
"GENE00283","00",FALSE,FALSE,FALSE
"GENE00284","00",FALSE,FALSE,FALSE
"GENE00285","00",FALSE,FALSE,FALSE
"GENE00286","00",FALSE,FALSE,FALSE
"GENE00287","00",FALSE,FALSE,FALSE
"GENE00288","00",FALSE,FALSE,FALSE
"GENE00289","00",FALSE,FALSE,FALSE
"GENE00290","00",FALSE,FALSE,FALSE
"GENE00291","00",FALSE,FALSE,FALSE
"GENE00292","00",FALSE,FALSE,FALSE
"GENE00293","00",FALSE,FALSE,FALSE
"GENE00294","10",TRUE,FALSE,FALSE
"GENE00295","00",FALSE,FALSE,FALSE
"GENE00296","00",FALSE,FALSE,FALSE
"GENE00297","00",FALSE,FALSE,FALSE
"GENE00298","00",FALSE,FALSE,FALSE
"GENE00299","00",FALSE,FALSE,FALSE
"GENE00300","00",FALSE,FALSE,FALSE
"GENE00301","00",FALSE,FALSE,FALSE
"GENE00302","00",FALSE,FALSE,FALSE
"GENE00303","00",FALSE,FALSE,FALSE
"GENE00304","00",FALSE,FALSE,FALSE
"GENE00305","00",FALSE,FALSE,FALSE
"GENE00306","00",FALSE,FALSE,FALSE
"GENE00307","00",FALSE,FALSE,FALSE
"GENE00308","00",FALSE,FALSE,FALSE
"GENE00309","00",FALSE,FALSE,FALSE
"GENE00310","00",FALSE,FALSE,FALSE
"GENE00311","00",FALSE,FALSE,FALSE
"GENE00312","11",TRUE,TRUE,TRUE
"GENE00313","00",FALSE,FALSE,FALSE
"GENE00314","00",FALSE,FALSE,FALSE
"GENE00315","00",FALSE,FALSE,FALSE
"GENE00316","00",FALSE,FALSE,FALSE
"GENE00317","00",FALSE,FALSE,FALSE
"GENE00318","00",FALSE,FALSE,FALSE
"GENE00319","00",FALSE,FALSE,FALSE
"GENE00320","00",FALSE,FALSE,FALSE
"GENE00321","00",FALSE,FALSE,FALSE
"GENE00322","00",FALSE,FALSE,FALSE
"GENE00323","00",FALSE,FALSE,FALSE
"GENE00324","00",FALSE,FALSE,FALSE
"GENE00325","00",FALSE,FALSE,FALSE
"GENE00326","00",FALSE,FALSE,FALSE
"GENE00327","00",FALSE,FALSE,FALSE
"GENE00328","00",FALSE,FALSE,FALSE
"GENE00329","00",FALSE,FALSE,FALSE
"GENE00330","00",FALSE,FALSE,FALSE
"GENE00331","00",FALSE,FALSE,FALSE
"GENE00332","00",FALSE,FALSE,FALSE
"GENE00333","00",FALSE,FALSE,FALSE
"GENE00334","00",FALSE,FALSE,FALSE
"GENE00335","00",FALSE,FALSE,FALSE
"GENE00336","00",FALSE,FALSE,FALSE
"GENE00337","00",FALSE,FALSE,FALSE
"GENE00338","10",TRUE,FALSE,FALSE
"GENE00339","00",FALSE,FALSE,FALSE
"GENE00340","01",FALSE,TRUE,FALSE
"GENE00341","00",FALSE,FALSE,FALSE
"GENE00342","00",FALSE,FALSE,FALSE
"GENE00343","10",TRUE,FALSE,FALSE
"GENE00344","00",FALSE,FALSE,FALSE
"GENE00345","00",FALSE,FALSE,FALSE
"GENE00346","00",FALSE,FALSE,FALSE
"GENE00347","00",FALSE,FALSE,FALSE
"GENE00348","00",FALSE,FALSE,FALSE
"GENE00349","00",FALSE,FALSE,FALSE
"GENE00350","00",FALSE,FALSE,FALSE
"GENE00351","00",FALSE,FALSE,FALSE
"GENE00352","10",TRUE,FALSE,FALSE
"GENE00353","00",FALSE,FALSE,FALSE
"GENE00354","00",FALSE,FALSE,FALSE
"GENE00355","00",FALSE,FALSE,FALSE
"GENE00356","00",FALSE,FALSE,FALSE
"GENE00357","00",FALSE,FALSE,FALSE
"GENE00358","00",FALSE,FALSE,FALSE
"GENE00359","00",FALSE,FALSE,FALSE
"GENE00360","00",FALSE,FALSE,FALSE
"GENE00361","10",TRUE,FALSE,FALSE
"GENE00362","00",FALSE,FALSE,FALSE
"GENE00363","00",FALSE,FALSE,FALSE
"GENE00364","00",FALSE,FALSE,FALSE
"GENE00365","00",FALSE,FALSE,FALSE
"GENE00366","10",TRUE,FALSE,FALSE
"GENE00367","00",FALSE,FALSE,FALSE
"GENE00368","00",FALSE,FALSE,FALSE
"GENE00369","00",FALSE,FALSE,FALSE
"GENE00370","00",FALSE,FALSE,FALSE
"GENE00371","00",FALSE,FALSE,FALSE
"GENE00372","00",FALSE,FALSE,FALSE
"GENE00373","00",FALSE,FALSE,FALSE
"GENE00374","00",FALSE,FALSE,FALSE
"GENE00375","00",FALSE,FALSE,FALSE
"GENE00376","00",FALSE,FALSE,FALSE
"GENE00377","00",FALSE,FALSE,FALSE
"GENE00378","00",FALSE,FALSE,FALSE
"GENE00379","00",FALSE,FALSE,FALSE
"GENE00380","00",FALSE,FALSE,FALSE
"GENE00381","00",FALSE,FALSE,FALSE
"GENE00382","00",FALSE,FALSE,FALSE
"GENE00383","00",FALSE,FALSE,FALSE
"GENE00384","00",FALSE,FALSE,FALSE
"GENE00385","00",FALSE,FALSE,FALSE
"GENE00386","00",FALSE,FALSE,FALSE
"GENE00387","00",FALSE,FALSE,FALSE
"GENE00388","00",FALSE,FALSE,FALSE
"GENE00389","00",FALSE,FALSE,FALSE
"GENE00390","00",FALSE,FALSE,FALSE
"GENE00391","00",FALSE,FALSE,FALSE
"GENE00392","00",FALSE,FALSE,FALSE
"GENE00393","00",FALSE,FALSE,FALSE
"GENE00394","10",TRUE,FALSE,FALSE
"GENE00395","00",FALSE,FALSE,FALSE
"GENE00396","00",FALSE,FALSE,FALSE
"GENE00397","00",FALSE,FALSE,FALSE
"GENE00398","00",FALSE,FALSE,FALSE
"GENE00399","10",TRUE,FALSE,FALSE
"GENE00400","00",FALSE,FALSE,FALSE
"GENE00401","00",FALSE,FALSE,FALSE
"GENE00402","00",FALSE,FALSE,FALSE
"GENE00403","00",FALSE,FALSE,FALSE
"GENE00404","00",FALSE,FALSE,FALSE
"GENE00405","00",FALSE,FALSE,FALSE
"GENE00406","00",FALSE,FALSE,FALSE
"GENE00407","10",TRUE,FALSE,FALSE
"GENE00408","00",FALSE,FALSE,FALSE
"GENE00409","00",FALSE,FALSE,FALSE
"GENE00410","00",FALSE,FALSE,FALSE
"GENE00411","00",FALSE,FALSE,FALSE
"GENE00412","00",FALSE,FALSE,FALSE
"GENE00413","00",FALSE,FALSE,FALSE
"GENE00414","00",FALSE,FALSE,FALSE
"GENE00415","00",FALSE,FALSE,FALSE
"GENE00416","00",FALSE,FALSE,FALSE
"GENE00417","00",FALSE,FALSE,FALSE
"GENE00418","11",TRUE,TRUE,TRUE
"GENE00419","00",FALSE,FALSE,FALSE
"GENE00420","11",TRUE,TRUE,TRUE
"GENE00421","00",FALSE,FALSE,FALSE
"GENE00422","00",FALSE,FALSE,FALSE
"GENE00423","00",FALSE,FALSE,FALSE
"GENE00424","00",FALSE,FALSE,FALSE
"GENE00425","00",FALSE,FALSE,FALSE
"GENE00426","00",FALSE,FALSE,FALSE
"GENE00427","00",FALSE,FALSE,FALSE
"GENE00428","00",FALSE,FALSE,FALSE
"GENE00429","00",FALSE,FALSE,FALSE
"GENE00430","00",FALSE,FALSE,FALSE
"GENE00431","00",FALSE,FALSE,FALSE
"GENE00432","00",FALSE,FALSE,FALSE
"GENE00433","00",FALSE,FALSE,FALSE
"GENE00434","00",FALSE,FALSE,FALSE
"GENE00435","00",FALSE,FALSE,FALSE
"GENE00436","00",FALSE,FALSE,FALSE
"GENE00437","00",FALSE,FALSE,FALSE
"GENE00438","00",FALSE,FALSE,FALSE
"GENE00439","00",FALSE,FALSE,FALSE
"GENE00440","00",FALSE,FALSE,FALSE
"GENE00441","00",FALSE,FALSE,FALSE
"GENE00442","00",FALSE,FALSE,FALSE
"GENE00443","00",FALSE,FALSE,FALSE
"GENE00444","00",FALSE,FALSE,FALSE
"GENE00445","00",FALSE,FALSE,FALSE
"GENE00446","00",FALSE,FALSE,FALSE
"GENE00447","00",FALSE,FALSE,FALSE
"GENE00448","00",FALSE,FALSE,FALSE
"GENE00449","00",FALSE,FALSE,FALSE
"GENE00450","00",FALSE,FALSE,FALSE
"GENE00451","00",FALSE,FALSE,FALSE
"GENE00452","00",FALSE,FALSE,FALSE
"GENE00453","00",FALSE,FALSE,FALSE
"GENE00454","00",FALSE,FALSE,FALSE
"GENE00455","00",FALSE,FALSE,FALSE
"GENE00456","00",FALSE,FALSE,FALSE
"GENE00457","00",FALSE,FALSE,FALSE
"GENE00458","00",FALSE,FALSE,FALSE
"GENE00459","00",FALSE,FALSE,FALSE
"GENE00460","00",FALSE,FALSE,FALSE
"GENE00461","00",FALSE,FALSE,FALSE
"GENE00462","00",FALSE,FALSE,FALSE
"GENE00463","00",FALSE,FALSE,FALSE
"GENE00464","00",FALSE,FALSE,FALSE
"GENE00465","00",FALSE,FALSE,FALSE
"GENE00466","00",FALSE,FALSE,FALSE
"GENE00467","00",FALSE,FALSE,FALSE
"GENE00468","10",TRUE,FALSE,FALSE
"GENE00469","00",FALSE,FALSE,FALSE
"GENE00470","00",FALSE,FALSE,FALSE
"GENE00471","00",FALSE,FALSE,FALSE
"GENE00472","00",FALSE,FALSE,FALSE
"GENE00473","00",FALSE,FALSE,FALSE
"GENE00474","00",FALSE,FALSE,FALSE
"GENE00475","00",FALSE,FALSE,FALSE
"GENE00476","00",FALSE,FALSE,FALSE
"GENE00477","00",FALSE,FALSE,FALSE
"GENE00478","00",FALSE,FALSE,FALSE
"GENE00479","00",FALSE,FALSE,FALSE
"GENE00480","00",FALSE,FALSE,FALSE
"GENE00481","00",FALSE,FALSE,FALSE
"GENE00482","01",FALSE,TRUE,FALSE
"GENE00483","00",FALSE,FALSE,FALSE
"GENE00484","00",FALSE,FALSE,FALSE
"GENE00485","00",FALSE,FALSE,FALSE
"GENE00486","00",FALSE,FALSE,FALSE
"GENE00487","00",FALSE,FALSE,FALSE
"GENE00488","00",FALSE,FALSE,FALSE
"GENE00489","00",FALSE,FALSE,FALSE
"GENE00490","00",FALSE,FALSE,FALSE
"GENE00491","00",FALSE,FALSE,FALSE
"GENE00492","00",FALSE,FALSE,FALSE
"GENE00493","00",FALSE,FALSE,FALSE
"GENE00494","00",FALSE,FALSE,FALSE
"GENE00495","00",FALSE,FALSE,FALSE
"GENE00496","00",FALSE,FALSE,FALSE
"GENE00497","00",FALSE,FALSE,FALSE
"GENE00498","00",FALSE,FALSE,FALSE
"GENE00499","00",FALSE,FALSE,FALSE
"GENE00500","00",FALSE,FALSE,FALSE
